name,Affiliation,Citations
osmar zaiane,University of Alberta - Alberta Machine Intelligence Institute,13247
federico fancellu,"Samsung AI Centre (SAIC), Toronto ",174
maarten de rijke,University of Amsterdam & Ahold Delhaize,25728
marcel worring,"Full Professor, University of Amsterdam ",17817
bruno verschuere,"Associate Professor of Forensic Psychology, University of Amsterdam ",7713
christof monz,"Associate Professor of Computer Science, University of Amsterdam ",5549
wilker aziz,University of Amsterdam,1014
erik borra,"Assistant Professor in Journalism and New Media, University of Amsterdam ",796
pengjie ren,University of Amsterdam,524
mohammad aliannejadi,Post-doctoral researcher at University of Amsterdam,370
nils köbis,"Post-Doc, University of Amsterdam ",301
dieuwke hupkes,postdoc at the University of Amsterdam,243
svitlana vakulenko,University of Amsterdam,152
ridho reinanda,"PhD Student, University of Amsterdam ",146
samira abnar,University of Amsterdam,101
marco del tredici,University of Amsterdam,97
nikos voskarides,University of Amsterdam,81
hamidreza ghader,"PhD candidate, University of Amsterdam ",42
maartje ter hoeve,University of Amsterdam,34
eelco van der wel,University of Amsterdam,29
jaap jumelet,University of Amsterdam,21
kris korrel,"Master AI student, University of Amsterdam ",18
jiahuan pei,University of Amsterdam,18
bryan eikema,"PhD Student Natural Language Processing, University of Amsterdam ",9
dennis ulmer,Universiteit van Amsterdam,4
gautier dagan,University of Amsterdam,2
karl aberer,"Professor of Computer and Communication Sciences, EPFL ",19573
xiuwen liu,"Department of Computer Science, Florida State University ",4673
canlin zhang,"PhD Mathematics, Florida State University ",2
valerio ficcadenti,London South Bank University,11
shuangjie xu,Huazhong University of Science and Technology,215
s,Huazhong university of Science and Technology,13
mihai surdeanu,"Associate Professor, Computer Science, University of Arizona ",12824
jianwen xiang,Wuhan University of Technology,575
kartik m. varadarajan,"Researcher, Technical University of Vienna ",330
gabor recski,TU Wien,180
sebastian hofstätter,"PhD student, TU Wien ",31
david jurgens,"Assistant Professor in the School of Information, University of Michigan ",2351
libby hemphill,"Associate Professor, University of Michigan School of Information ",663
yuheng du,clemson university,33
riko suzuki,Shimane University,212
jon kleinberg,"Professor of Computer Science, Cornell University ",90804
claire cardie,"Professor of Computer Science, Cornell University ",20928
muhammad aslam jarwar,"Hankuk University of Foreign Studies, Korea ",161
sandra kübler,Indiana University,4804
sandra kuebler,Indiana University,4804
yongzhen wang,Indiana University Bloomington,52
johnathan e. avery,"Doctoral Student, Indiana University ",17
kenneth loparo,Case Western Reserve University,10995
xiaojiang liu,Tencent AI Lab,713
linfeng song,Tencent AI Lab,604
lemao liu,Researcher at Tencent AI Lab,555
longyue wang,Tencent AI Lab,488
stanislas dehaene,"Professor of Experimental Cognitive Psychology, Collège de France ",115139
hiroshi ishiguro,Osaka University,24911
kazunori komatani,"Professor, Osaka University ",3423
hajime nagahara,Professor of Osaka University,1913
yuki arase,Osaka University,842
tomoyuki kajiwara,Osaka University,192
gino yu,PolyU,422
emmanuele chersoni,Hong Kong Polytechnic University,95
xiaozhou liu,The Hong Kong Polytechnic University,60
mohammed j. zaki,"Professor, Computer Science Department, RPI ",27251
tomek strzalkowski,Rensselaer Polytechnic Institute,4752
jianxi gao,"Assistant Professor of Computer Science,  Rensselaer Polytechnic Institute ",4189
mubbasir kapadia,"Rutgers University, Computer Science Department ",2312
malihe alikhani,"Rutgers University, Computer Science and Cognitive Science ",30
alessandro lameiras koerich,"École de Technologie Supérieure (ÉTS Montreal), University of Quebec, LIVIA, InviSys … ",2759
avi ziskind,SRI International,21
mustafa canim,"Research Staff Member, IBM TJ Watson Research Center ",1105
pavan kapanipathi,"Research Staff Member, IBM TJ Watson Research Center ",593
taesun moon,"Researcher, IBM Research, Yorktown Heights, NY ",255
dongfang xu,"PhD Candidate, School of Information, University of Arizona ",87
margrit betke,"Computer Science, Boston University ",8402
tianrui li,"Professor of School of Information Science and Technology, Southwest Jiaotong university ",8180
shiqian chen,"Associate Professor, State Key Laboratory of Traction Power, Southwest Jiaotong University ",284
huaishao luo,Southwest Jiaotong University,37
chitwan saharia,"Google Brain, Toronto ",63
samuel barham,"AI/ML Researcher, Johns Hopkins University Applied Physics Laboratory ",8
shailaja sampat,PhD candidate at Arizona State University,3
will e. hipson,Carleton University,67
andriy drozdyuk,Carleton University,4
enhong chen,University of Science and Technology of China,10079
zhen-hua ling,University of Science and Technology of China,3992
xizhou zhu,USTC,752
zhirui zhang,University of Science and Technology of China,423
yu-ping ruan,University of Science and Technology of China,31
binbin jin,University of Science and Technology of China,24
jia-chen gu,Ph.D. student in University of Science and Technology of China,21
brian d. davison,"Associate Professor of Computer Science and Engineering, Lehigh University ",8323
prasad tadepalli,"Professor of Computer Science, Oregon State University ",3926
mei-hua hall,"McLean Hospital, Harvard Medical School ",2723
stephen h. bach,"Assistant Professor of Computer Science, Brown University ",1633
wen-lian hsu,"Institute of Information Science, Academia Sinica ",8804
hsin-min wang,"Research Fellow/Professor, Institute of Information Sience, Academia Sinica ",4789
wei-yun ma,"Assistant Research Fellow at Institute of Information Science, Academia Sinica ",630
charles x. ling,"Professor of Computer Science, University of Western Ontario ",8454
tanner bohn,"Grad student, Western University ",6
rohit voleti,"Ph.D. Student, Arizona State University ",13
lise getoor,"Professor of Computer Science, University of California, Santa Cruz ",21125
marilyn walker,"Professor of Computer Science and Engineering, University of California Santa Cruz ",15104
kevin k. bowden,"PhD student of Computer Science, University of California Santa Cruz ",143
vrindavan harrison,University of California Santa Cruz,73
juraj juraska,"University of California, Santa Cruz ",49
qingxia liu,"Professor of Chemical and Materials Engineering, University of Alberta ",6175
abram hindle,University of Alberta,4059
lili mou,"Assistant Professor, University of Alberta ",2280
sarah nadi,"Assistant Professor, University of Alberta ",993
uyen trang nguyen,"Professor of Computer Science, York University ",1497
antoine neuraz,"Université de Paris, France ",349
xinwei xue,"Department of Neuroscience, UT Austin ",864
anima anandkumar,California Institute of Technology and NVIDIA,6552
matilde marcolli,Caltech,4031
richard kueng,California Institute of Technology,772
hsin-yuan huang,California Institute of Technology,220
sanghyun yi,Caltech,8
svetlana kiritchenko,National Research Council Canada,5496
patrick littell,National Research Council of Canada,367
natalie parde,University of Illinois at Chicago,105
congying xia,University of Illinois at Chicago,99
shaika chowdhury,University of Illinois at Chicago,63
jishnu ray chowdhury,"University of Illinois, at Chicago ",8
yatri modi,University of Illinois at Chicaggo,1
vlad eidelman,FiscalNote,880
anastassia kornilova,FiscalNote,16
alexandre kabbach,University of Geneva,8
nathanael chambers,"Associate Professor of Computer Science, US Naval Academy ",4698
michael gleicher,"Professor of Computer Sciences, University of Wisconsin - Madison ",15123
yanhui gu,"Institute of Industrial Science, The University of Tokyo; Nanjing Normal University ",149
daniel andor,"Postdoctoral Associate, The Rockefeller University ",1756
fengshi jing,Tongji University,1025
shengbin jia,Tongji University,24
hansaem kim,"Senior Researcher of earthquake center, Korea Institute of Geoscience and Mineral … ",156
haytham m. fayek,RMIT,359
julia kreutzer,"Research Scientist at Google Research, Montreal ",308
alon kipnis,"Postdoctoral Scholar, Stanford University ",277
bas hofstra,"Postdoctoral Research Fellow, Stanford University ",136
bell raj eapen,McMaster University,144
jiahui qiu,East China University of Science and Technology,34
tiffany j. callahan,"Computational Bioscience, University of Colorado Denver Anschutz Medical Campus ",372
sungchul choi,Gachon University,870
ping cai,Sun Yat-Sen University,9960
xiaodan liang,"Associate Professor, Sun Yat-sen University ",6703
yuedong yang,"School of Data and Computer Science, Sun Yat-sen University ",3671
zixian huang,Sun Yat-sen University,109
daya guo,Sun Yat-Sen University,64
youwei song,Sun Yat-sen University,34
jianheng tang,Sun Yat-sen University,27
zenan xu,Sun Yat-sen University,6
jianling sun,"Professor, School of Software, Sun Yat-sen University ",2055
jaechoon jo,Hanshin University,219
deyi xiong,"Tianjin University, China ",2767
zhang meishan,"Tianjin University, China ",1287
meishan zhang,"Tianjin University, China ",1286
rohollah soltani,Knowtions Research,43
george cybenko,Dartmouth Engineering,22568
haw-shiuan chang,"School of Computer Science, UMass, Amherst ",257
avishek garain,"Student, Jadavpur University ",6
oksana shadura,University of Nebraska-Lincoln & CERN,6797
nim dvir,University at Albany – State University of New York (SUNY),28
jugal kalita,"University of Colorado, Colorado Springs ",6381
austin blodgett,"PhD Candidate in Linguistics, Georgetown University ",16
emma manning,"Doctoral Student in Linguistics, Georgetown University ",4
luke gessler,"Ph.D. Student in Computational Linguistics, Georgetown University ",4
anh-duong trinh,"PhD Candidate, Technological University Dublin ",6
son bao pham,"Associate Professor, VNU University of Engineering and Technology ",1336
jaewoo kang,"Dept of Computer Science and Engineering, Korea University ",4006
heuiseok lim,"Professor of computer science & eng., Korea University ",1015
kisu yang,Korea University,9
taesun whang,"Department of Computer Science and Engineering, Korea University ",6
mujeen sung,Korea University,6
qingfu zhu,"Postdoctoral fellow, University of Kansas ",182
chunyuan li,"Senior Researcher @ Microsoft Research, Redmond ",2747
baolin peng,"Microsoft Research, Redmond ",1482
hansi hettiarachchi,Birmingham City University,12
michael blumenstein,"Professor and Associate Dean Research, University of Technology Sydney ",4506
yida xu,University of Technology Sydney,1018
jianlong zhou,University of Technology Sydney (UTS),962
xueping peng,University of Technology Sydney,114
inigo jauregi unanue,"PhD Student, University of Technology Sydney ",76
youmna farag,"PhD Student, Computer Laboratory, University of Cambridge ",30
simone teufel,"Professor of Computer Science, Cambridge University ",6161
ran zmigrod,"Computer Science student, University of Cambridge ",35
ian horrocks,"Professor of Computer Science, University of Oxford ",52436
thomas lukasiewicz,"Professor of Computer Science, University of Oxford ",6684
kazuya kawakami,"University of Oxford, Department of Computer Science ",2104
oana-maria camburu,"PhD student in Computer Science, University of Oxford ",400
xavier tannier,"Sorbonne Université, INSERM, LIMICS ",2294
claudia s. bianchini,"MCF en Sciences du Langage - Langue des Signes, Univ. Poitiers (France) ",150
claudia bianchini,"MCF en Sciences du Langage - Langue des Signes, Univ. Poitiers (France) ",150
caio corro,"Université Paris Sud, LIMSI ",33
andreas hanselowski,Cerence Inc.,173
m. zakaria kurdi,University of Lynchburg,139
matthieu cord,"Professor of Computer Science, Sorbonne University ",4945
olivier sigaud,"professeur d'informatique, Sorbonne Université ",3134
bruno taillé,Sorbonne Université,1
nkechi ifeanyi-reuben,"Rhema University, Nigeria ",5
amirsina torfi,"PhD student, Virginia Tech ",143
amir pouran ben veyseh,university of Oregon,58
viet dac lai,University of Oregon,24
seil na,Lunit Inc,61
dan hendrycks,"PhD Student, UC Berkeley ",1931
mitchell stern,"PhD Student, UC Berkeley ",1021
david gaddy,"PhD student, UC Berkeley ",109
waleed ragheb,"LIRMM, Univ Montpellier, CNRS, Montpellier, France ",33
françois pierrot,"LIRMM, CNRS & Université de Montpellier ",5266
richard moot,"Research Scientist, CNRS, LIRMM, University of Montpellier ",841
jifan chen,Ph.D. Student at University of Texas at Austin,228
ha-jin yu,"School of Computer Science, University of Seoul ",219
jee-weon jung,University of Seoul,126
anna breit,"PhD student, University of Maine ",2
sira ferradans,Fortia financial solutions,508
marie duží,VSB-Technical University Ostrava,1201
mathieu dehouck,Inria Lille,13
yanan jia,Businessolver,4
enrico pontelli,New Mexico State University,6135
boonserm kijsirikul,"Dept. of Computer Engineering, Chulalongkorn University ",1328
barry devereux,"Lecturer in Computer Science, Queen's University, Belfast ",1123
zoran obradovic,"Data Analytics and Biomedical Informatics Center, Temple University ",25581
anshuman suri,"PhD Student, University of Virginia ",23
yo nakawake,Kochi University of Technology,77
diganta saha,"Professor of Computer Science and Engineering Department, Jadavpur University … ",175
sainik kumar mahata,"Visveswaraya Ph.D Fellow, Jadavpur University ",121
md. akmal haidar,"Senior Researcher, Huawei Technologies Canada ",124
chloé clavel,Telecom-ParisTech,1329
chloe clavel,Telecom-ParisTech,1329
anne sabourin,"LTCI, Télécom Paris, Institut polytechnique de Paris ",200
valentin barriere,Telecom ParisTech,31
hamid jalalzai,"Télécom Paris, Institut polytechnique de Paris ",5
huajie chen,Beijing Normal University,399
shuaipeng li,Beijing Normal University,45
baohua sun,Gyrfalcon Technology Inc.,76
casey kennington,Boise State University,550
ion madrazo azpiazu,"Research Assistant, Boise State University ",92
daniel boies,Boise State University,53
maria soledad pera,"Associate  Professor of Computer Science, Boise State University ",736
m. hamed mozaffari,"National Research Council of Canada, Assistant Research Officer, Ph.D. ",125
sridhama prakhya,HHMI – Janelia Research Campus,13
h l shashirekha,"Asso. Professor of Computer Science , Karnataka University ",70
h l. shashirekha,"Asso. Professor of Computer Science , Karnataka University ",70
alison q o'neil,Canon Medical Research Europe / University of Edinburgh,89
kentaro inui,Tohoku University,5095
masashi yoshikawa,Tohoku university,38
reina akama,Tohoku university,16
pride kavumba,Tohoku University,4
goro kobayashi,Tohoku University,1
daisuke bekki,Ochanomizu University,379
akiko aizawa,National Institute of Informatics,2842
isao echizen,National Institute of Informatics / University of Tokyo / SOKENDAI,2346
moritz schubotz,"National Institute of Informatics, Japan ",453
hieu-thi luong,National Institute of Informatics,111
saku sugawara,National Institute of Informatics,83
hiroya takamura,"Professor, Tokyo Institute of Technology ",2462
sho takase,Tokyo Institute of Technology,209
soichiro murakami,Tokyo Institute of Technology,58
hidetaka kamigaito,Tokyo Institute of Technology,50
michita imai,Keio University,5019
seito kasai,Keio University,1
hitoshi iyatomi,"Professor, Hosei University, Japan ",3418
shunsuke kitada,Hosei University,9
jierui li,University of Electronic Science and Technology of China,2
yongfeng huang,Jiangsu University of Technology,15
kata gábor,INALCO,235
deborah estrin,"Professor of Computer Science, Cornell Tech, Cornell University ",127706
serge belongie,"Professor of Computer Science, Cornell University and Cornell Tech ",64021
yiqing hua,Cornell Tech,182
roei schuster,Tel Aviv University and Cornell Tech,116
lee j. o'riordan,Irish Centre for High-End Computing (ICHEC),49
vittorio castelli,IBM TJ Watson Research Center,6414
petros zerfos,IBM TJ Watson Research Center,5060
jinjun xiong,IBM TJ Watson Research Center,2863
toyotaro suzumura,"Research Scientist, IBM TJ Watson Research Center ",2164
xuan-hong dang,"IBM Thomas J. Watson Research Center, NY, USA ",657
william schueller,Inria Bordeaux Sud-Ouest,24
ramakanth pasunuru,"Graduate Student, UNC Chapell Hill ",319
daniel kasenberg,"Graduate Student, Department of Computer Science, Tufts University ",106
george karypis,"Professor, Department of Computer Science & Engineering, University of Minnesota ",73482
keshab k. parhi,"Professor of Electrical & Computer Engineering, University of Minnesota ",21720
achim kempf,"Professor of Mathematical Physics, University of Waterloo ",6433
zhicheng huang,"PhD candidate, University of Waterloo ",387
nabiha asghar,"Ph.D. Computer Science, University of Waterloo ",190
linqing liu,University of Waterloo / Salesforce,160
shubhankar mohapatra,"Graduate Student, University of Waterloo ",1
jesse hoey,"Associate Professor of Computer Science, University of Waterloo ",6444
vikash balasubramanian,"MMath Computer Science, University of Waterloo ",7
ihab f. ilyas,University of Waterloo,8577
olga vechtomova,University of Waterloo,1976
yaoliang yu,University of Waterloo,1772
raphael tang,University of Waterloo,227
shivam kalra,University of Waterloo,194
achyudh ram,University of Waterloo,69
yushi hu,University of Waterloo,55
hsiu-wei yang,University of Waterloo,23
michael azmy,University of Waterloo,11
chris dulhanty,University of Waterloo,8
hannes schulz,"Microsoft Research, Montreal ",1388
xingdi yuan,"Microsoft Research, Montreal ",808
michael bloodgood,The College of New Jersey,501
kamran sartipi,"Associate Professor of Software Engineering, University of Ontario Institute of Technology ",1304
karan uppal,Emory University,2116
jinho d. choi,"Assistant Professor, Emory University ",1641
bonggun shin,Emory University,232
payam karisani,Emory University,119
caleb ziems,Emory University,2
jiaying lu,"Ph.D. student in Computer Science, Emory University ",1
lui sha,"Professor of Computer Sceince, University of Illinois ",26614
xingyuan pan,University of Utah,85
yixin nie,"Graduate Student in Computer Science, UNC-Chapel Hill ",177
ron alterovitz,"Professor of Computer Science, University of North Carolina at Chapel Hill ",5001
stefan wermter,University of Hamburg,5425
walid maalej,University of Hamburg,3754
seid muhie yimam,"Research Assistant, University of Hamburg ",484
christoph stanik,"Research Associate, University of Hamburg ",181
egor lakomkin,University of Hamburg,106
chandrakant bothe,University of Hamburg,40
marcus soll,University of Hamburg,32
ozge sevgili,University of Hamburg,22
eric fosler-lussier,"Professor of Computer Science & Engineering, The Ohio State University ",5950
sampo pyysalo,University of Turku,7134
tapio salakoski,"Professor of Computer Science, University of Turku ",6690
filip ginter,University of Turku,5428
jenna kanerva,"Department of Future Technologies, University of Turku ",797
kai hakala,University of Turku,573
samuel rönnqvist,"TurkuNLP, University of Turku ",204
hasan cavusoglu,"Associate Professor of MIS, Sauder School of Business, University of British Columbia  ",2893
catalin zorila,"Research Engineer at Toshiba Cambridge Research Laboratory, Cambridge UK ",224
tat-seng chua,National University of Singapore,28336
jiashi feng,National University of Singapore,10885
anthony k. h. tung,National University of Singapore,9504
devamanyu hazarika,National University of Singapore,1803
lizi liao,National University of Singapore,1607
desmond c. ong,National University of Singapore & A*STAR Singapore,583
ruidan he,National University of Singapore,309
weihao yu,National University of Singapore,139
chitralekha gupta,Ph.D. student at National University of Singapore,102
jibin wu,National University of Singapore,84
choon meng lee,National University of Singapore,78
mohit rajpal,"PhD Student, National University of Singapore ",65
ziwei xu,National University of Singapore,14
yixuan tang,"PhD, CS, National University of Singapore ",9
min-yen kan,"Associate Professor, National University of Singapore ",9468
kokil jaidka,"Assistant Professor, National University of Singapore ",614
hwee tou ng,"Provost's Chair Professor of Computer Science, National University of Singapore ",12223
yuxiao liang,"School of Computing, National University of Singapore ",135
dhruva sahrawat,"Research Assistant, School of Computing, National University of Singapore ",7
hanan aldarmaki,The George Washington University,62
maryam aminian,George Washington University,48
nada almarwani,The George Washington University,29
sawsan alqahtani,The George Washington University,22
shabnam tafreshi,Graduate Research Assistant at George Washington University,19
michael brudno,"Professor of Computer Science, University of Toronto; Director, Centre for Computaitonal … ",18526
graeme hirst,"Professor of Computer Science, University of Toronto ",16099
hanyu shi,"PhD Student, Department of Chemical and Biological Engineering, Northwestern University ",124
noah a. smith,University of Washington; Allen Institute for Artificial Intelligence,22941
yejin choi,University of Washington / Allen Institute for Artificial Intelligence,10087
matt gardner,Allen Institute for Artificial Intelligence,6175
mark neumann,Allen Institute for Artificial Intelligence,4411
ashish sabharwal,Allen Institute for AI (AI2),4202
roozbeh mottaghi,Allen Institute for Artificial Intelligence,3249
oyvind tafjord,Allen Institute of Artificial Intelligence (AI2),1769
swabha swayamdipta,Allen Institute of Artificial Intelligence,882
pradeep dasigi,Allen Institute for Artificial Intelligence,836
chandra bhagavatula,Allen Institute for Artificial Intelligence,809
rachel rudinger,Allen Institute for Artificial Intelligence,748
iz beltagy,Allen Institute for Artificial Intelligence,700
arman cohan,Allen Institute for Artificial Intelligence,680
keisuke sakaguchi,Allen Institute for Artificial Intelligence (AI2),664
daniel khashabi,Allen Institute for AI,629
vered shwartz,Allen Institute for AI & University of Washington,551
chaitanya malaviya,Allen Institute for Artificial Intelligence,505
suchin gururangan,Allen Institute for AI,300
kyle lo,Allen Institute for Artificial Intelligence,298
dirk groeneveld,Allen Institute for Artificial Intelligence,292
lucy lu wang,Allen Institute for Artificial Intelligence,242
field cady,Allen Institute for Artificial Intelligence,145
sebastian kohlmeier,Allen Institute for Artificial Intelligence (AI2),138
matan eyal,Allen Institute for Artificial Intelligence,45
sanjay subramanian,Allen Institute for Artificial Intelligence,32
isabel cachola,Allen Institute for AI,22
justin v. remais,"Head of Environmental Health Sciences, University of California, Berkeley ",3108
xinhao zheng,Peking University Shenzhen Graduate School,2860
francesca dino,University of Denver,1
xuanjing huang,"Professor of Computer Science, Fudan University ",6121
xipeng qiu,"Professor of Computer Science, Fudan University ",3290
yanghua xiao,"Professor of Computer Science, Fudan University ",1653
zhongyu wei,"Associate Professor at School of Data Science, Fudan University ",918
minlong peng,Fudan University,109
yige xu,Master Student at Fudan University,66
luyao huang,Fudan University,65
jinlan fu,Fudan University,64
ruize wang,Fudan University,9
tianxiang sun,Fudan University,9
jiangjie chen,Fudan University,6
anna rumshisky,UMass Lowell,2023
mohammad arif ul alam,"Assistant Professor, University of Massachusetts Lowell ",284
joseph e. gonzalez,"University of Massachusetts, Lowell ",204
yinhan liu,Birch Technology,1109
hichem mezaoui,IMRSV DATA LABS,24
dilin wang,"Department of Computer Science, UT Austin ",594
greg durrett,"Assistant Professor of Computer Science, UT Austin ",1336
sungdong kim,Seoul National University of Science and Technology,780
nicolas garneau,Université Laval,6
sidney fels,"Professor of Electrical and Computer Engineering, University of British Columbia ",7235
pramit saha,"Electrical and Computer Engineering, University of British Columbia ",52
giuseppe carenini,"Professor of Computer Science, University of British Columbia ",5776
hugh murrell,"School of Mathematics, Statistics and Computer Science, University of KwaZulu-Natal ",140
charibeth cheng,De La Salle University,139
jan christian blaise cruz,"Center for Language Technologies (CeLT), De La Salle University (DLSU) ",5
chao-lin liu,"Department of Chemical Engineering, Ming Chi University of Technology (???????? … ",880
rachid echahed,"Research Fellow CNRS, Grenoble ",1679
gholamreza haffari,"Associate Professor, Faculty of Information Technology, Monash University ",7356
alireza borjali,"Research Fellow in Orthopedic Surgery, Harvard Medical School, Massachusetts General … ",59
henry kautz,"Professor of Computer Science, University of Rochester ",31791
jiebo luo,"Professor of Computer Science, University of Rochester ",26372
daniel gildea,"Professor of Computer Science, University of Rochester ",10257
abhinav mathur,PerkinElmer Genetics Inc.,308
jean rouat,"NECOTIS, GEGI, Univ. de Sherbrooke ",3160
juan-manuel torres-moreno,Université d'Avignon - Polytechnique Montréal - UQAM,2722
k. m. tahsin hassan rahit,University of Calgary,2
xixi zhou,"College of Pharmacy, University of New Mexico ",528
udit arora,"Graduate student at Courant Institute of Mathematical Sciences, New York University ",5
yuta koreeda,"Hitachi, Ltd., Hitachi America, Ltd., Stanford CS ",40
attapol rutherford,Chulalongkorn University,463
ekapol chuangsuwanich,Chulalongkorn University,402
peerapon vateekul,Chulalongkorn,395
nicholas mccarthy,"Postdoctoral Operations Research Associate, Colorado State University ",52
ichiro sakata,Saitama University,4638
yongjie lin,Chinese Academy of Geological Sciences,47
michael i. jordan,"Professor of EECS and Professor of Statistics, University of California, Berkeley ",184138
dawn song,"Professor of Computer Science, UC Berkeley ",59139
kurt keutzer,"Professor of the Graduate School, EECS, University of California, Berkeley ",25133
yanwei cui,"Ph.D. in Machine Learning, IRISA (French Institute for Research in Computer Science) ",23
shining liang,Jilin University,11
frank rudzicz,"University of Toronto, Department of Computer Science; Vector Institute for Artificial … ",1975
syed ishtiaque ahmed,University of Toronto,961
ella rabinovich,University of Toronto,369
yu-siang wang,University of Toronto,77
aparna balagopalan,University of Toronto,37
marta skreta,University of Toronto,19
akshay budhkar,University of Toronto,11
larkin liu,University of Toronto,5
akshay khatri,"Fellow, Infectious Diseases, Northshore University Hospital and Long Island Jewish Medical … ",50
liming song,Xi'an Jiaotong University,405
bifan wei,Xi'an Jiaotong University,190
ambreen nazir,Xi'an Jiaotong University,53
honglei liu,Xi'an Jiaotong Universtiy,33
garrett warnell,Army Research Laboratory,553
stephanie m. lukin,US Army Research Laboratory,472
miguel luengo-oroz,United Nations Global Pulse & Universidad Politecnica de Madrid,1451
ion androutsopoulos,"Professor, Department of Informatics, Athens University of Economics and Business ",8724
john pavlopoulos,"Postdoc, Athens University of Economics and Business ",1274
ilias chalkidis,"PhD Candidate, Athens University of Economics and Business ",118
stamatis outsios,Athens University of Economics and Business,4
john bohannon,"associate scientist, School of Engineering and Applied Sciences, Harvard University ",5383
